instruction	concept_list	shared_property
Use the Input below to identify the common property or characteristic shared by all these concepts.	boeing,helicopter,atlases,airplanes,airplane	aircrafts
Use the Input below to identify the common property or characteristic shared by all these concepts.	twinkles,resets,massacres,open doors,flashpoints	albums
Use the Input below to identify the common property or characteristic shared by all these concepts.	sake,whisky,vodka,white wine,raisin	alcoholic
Use the Input below to identify the common property or characteristic shared by all these concepts.	liquor,vodka,whisky,white wine,grape	alcoholic beverages
Use the Input below to identify the common property or characteristic shared by all these concepts.	spirits,champagne,strong drinks,liquor,cider	alcoholic drinks
Use the Input below to identify the common property or characteristic shared by all these concepts.	only animals and plants and bacteria,human bodies,grass green when,shrub,tree	alive
Use the Input below to identify the common property or characteristic shared by all these concepts.	true toads,newt,true frogs,toad,lizard	amphibians
Use the Input below to identify the common property or characteristic shared by all these concepts.	castes,broods,pods,colonies,breeds	animal groups
Use the Input below to identify the common property or characteristic shared by all these concepts.	tent caterpillars,ruminants,badgers,chordates,monkeys	animals
Use the Input below to identify the common property or characteristic shared by all these concepts.	people who like animals,gravel driveway,traffic congestion,many advertisements,surfing web	annoying
Use the Input below to identify the common property or characteristic shared by all these concepts.	begonias,pansies,marigolds,periwinkles,salvias	annual plants
Use the Input below to identify the common property or characteristic shared by all these concepts.	pendulums,reformers,sequencers,stills,incubators	apparatus
Use the Input below to identify the common property or characteristic shared by all these concepts.	blemishs,looks,faces,impressions,fronts	appearances
Use the Input below to identify the common property or characteristic shared by all these concepts.	limbs,arms,trunks,penises,feelers	appendages
Use the Input below to identify the common property or characteristic shared by all these concepts.	refrigerator,air conditioners,kettle,teapot,grill	appliances
Use the Input below to identify the common property or characteristic shared by all these concepts.	frames,job applications,jobs,patent applications,loan applications	applications
Use the Input below to identify the common property or characteristic shared by all these concepts.	shark,eel,sea horse,turtle,jellyfish	aquatic animals
Use the Input below to identify the common property or characteristic shared by all these concepts.	dolphin,whale,seal,cetaceans,killer whale	aquatic mammals
Use the Input below to identify the common property or characteristic shared by all these concepts.	column,ceiling,pillar,tower,beam	architectural elements
Use the Input below to identify the common property or characteristic shared by all these concepts.	dome,arch,window,statue,column	architectural features
Use the Input below to identify the common property or characteristic shared by all these concepts.	polar bear,walrus,polar bear,arctic fox,bear	arctic animals
Use the Input below to identify the common property or characteristic shared by all these concepts.	opens,gray areas,belief systems,pits,waists	areas
Use the Input below to identify the common property or characteristic shared by all these concepts.	coriander,cilantro,mint,shallot,pepper	aromatic
Use the Input below to identify the common property or characteristic shared by all these concepts.	rosemary,kaffir lime leaves,galangal,verbena,mint	aromatic herbs
Use the Input below to identify the common property or characteristic shared by all these concepts.	designs,classification systems,venations,orchestrations,formations	arrangements
Use the Input below to identify the common property or characteristic shared by all these concepts.	drawing,musicianships,negotiation,sculptures,horologies	art
Use the Input below to identify the common property or characteristic shared by all these concepts.	gardening,photograph,painting,picture,statue	art forms
Use the Input below to identify the common property or characteristic shared by all these concepts.	pastel,painting,photograph,statue,charcoal	art mediums
Use the Input below to identify the common property or characteristic shared by all these concepts.	abstract,pointillism,expressionism,modernism,gothic	art movements
Use the Input below to identify the common property or characteristic shared by all these concepts.	canvas,brush,easels,brushes,acrylics	art supplies
Use the Input below to identify the common property or characteristic shared by all these concepts.	canvas,pastel,pencils,brushes,paintbrush	art tools
Use the Input below to identify the common property or characteristic shared by all these concepts.	spiders,arachnids,scorpion,millipedes,trilobites	arthropods
Use the Input below to identify the common property or characteristic shared by all these concepts.	notions,newspaper articles,deductibles,columns,features	articles
Use the Input below to identify the common property or characteristic shared by all these concepts.	scarf,shoes,jeans,sweatshirt,t-shirt	articles of clothing
Use the Input below to identify the common property or characteristic shared by all these concepts.	icons,facilities,memorabilias,weapons,sheets	artifacts
Use the Input below to identify the common property or characteristic shared by all these concepts.	scores,clementines,auras,champs,phoenixs	artificial satellites
Use the Input below to identify the common property or characteristic shared by all these concepts.	gustav klimt,comedians,humans,classics,poets	artists
Use the Input below to identify the common property or characteristic shared by all these concepts.	photograph,clubfoots,astronomers,dances,resurrections	artwork
Use the Input below to identify the common property or characteristic shared by all these concepts.	resources,homes,sums,intangible assets,intangibles	assets
Use the Input below to identify the common property or characteristic shared by all these concepts.	mannequins,instruments,subordinates,paraprofessionals,event planners	assistants
Use the Input below to identify the common property or characteristic shared by all these concepts.	bondi beach,kangaroo,ayers rock,eucalyptus,opera house	associated with australia
Use the Input below to identify the common property or characteristic shared by all these concepts.	wreath,holly tree,elf,mistletoe,santa claus	associated with christmas
Use the Input below to identify the common property or characteristic shared by all these concepts.	sari,spices,taj mahal,elephant,turban	associated with india
Use the Input below to identify the common property or characteristic shared by all these concepts.	chopsticks,temple,green tea,sumo wrestling,cherry blossom	associated with japan
Use the Input below to identify the common property or characteristic shared by all these concepts.	day of the dead,mariachi,mariachi music,tequila,sombrero	associated with mexico
Use the Input below to identify the common property or characteristic shared by all these concepts.	tapas,bullfighting,iberico ham,churros,flamenco	associated with spain
Use the Input below to identify the common property or characteristic shared by all these concepts.	snowman,ski lift,blizzard,sled,christmas tree	associated with winter
Use the Input below to identify the common property or characteristic shared by all these concepts.	sun,stars,black holes,asteroid,brown dwarfs	astronomical objects
Use the Input below to identify the common property or characteristic shared by all these concepts.	boxers,cricketers,wrestlers,sharpshooters,lettermans	athletes
Use the Input below to identify the common property or characteristic shared by all these concepts.	soccer cleat,running shoes,running sneakers,running shoe,converse sneakers	athletic footwear
Use the Input below to identify the common property or characteristic shared by all these concepts.	thunderstorm,mist,snowstorm,rainbows,sunsets	atmospheric phenomena
Use the Input below to identify the common property or characteristic shared by all these concepts.	kidnapping,strikes,assaults,explosives,executions	attacks
Use the Input below to identify the common property or characteristic shared by all these concepts.	rockers,conventioneers,loaders,bridesmaids,gillies	attendants
Use the Input below to identify the common property or characteristic shared by all these concepts.	cd player,mp player,cassette player,loudspeaker,earbud	audio devices
Use the Input below to identify the common property or characteristic shared by all these concepts.	stereo system,turntables,headphones,amplifier,television	audio equipment
Use the Input below to identify the common property or characteristic shared by all these concepts.	evaluators,lordships,last words,masters,connoisseurs	authority
Use the Input below to identify the common property or characteristic shared by all these concepts.	limousines,sedans,truck,motorcycle,vans	automobiles
Use the Input below to identify the common property or characteristic shared by all these concepts.	condensers,car batteries,car seats,taillights,floor mats	automotive products
Use the Input below to identify the common property or characteristic shared by all these concepts.	diphtherias,whooping coughs,scrub typhus,cholera,bacterial pneumonia	bacterial infection
Use the Input below to identify the common property or characteristic shared by all these concepts.	magnetotactic bacteriums,vegetative cells,anaerobic bacteriums,mycobacterias,cyanobacterias	bacteriums
Use the Input below to identify the common property or characteristic shared by all these concepts.	political ideology,plato believed sex and art,computer hurts good people,commiting genocide,slavery	bad
Use the Input below to identify the common property or characteristic shared by all these concepts.	tobacco,washing mouth with soap,fast food,high cholesterol level,nuclear war	bad for health
Use the Input below to identify the common property or characteristic shared by all these concepts.	briefcases,totes,pouchs,golf bags,briefcase	bags
Use the Input below to identify the common property or characteristic shared by all these concepts.	purse,tote,backpack,wallet,messenger bag	bags for carrying items
Use the Input below to identify the common property or characteristic shared by all these concepts.	pie,cookie,cake,donuts,bread	baked
Use the Input below to identify the common property or characteristic shared by all these concepts.	cookies,pie,cupcake,pies,cakes	baked desserts
Use the Input below to identify the common property or characteristic shared by all these concepts.	blueberry muffin,biscuits,peach cobbler,croissant,chip	baked goods
Use the Input below to identify the common property or characteristic shared by all these concepts.	salt,baking powder,eggs,flour,baking soda	baking ingredients
Use the Input below to identify the common property or characteristic shared by all these concepts.	muffin tin,oven mitts,baking sheet,whisk,cake stand	baking tools
Use the Input below to identify the common property or characteristic shared by all these concepts.	bowling balls,medicine balls,fireballs,crystal balls,softballs	balls
Use the Input below to identify the common property or characteristic shared by all these concepts.	boozeds,mavericks,metro areas,verve,wrens	bands
Use the Input below to identify the common property or characteristic shared by all these concepts.	railings,breakwaters,curtains,roadblock,curtain	barriers
Use the Input below to identify the common property or characteristic shared by all these concepts.	salad bars,shackles,nightclubs,crossbars,bolts	bars
Use the Input below to identify the common property or characteristic shared by all these concepts.	purine,home plates,sodium hydroxide,pyrimidine,choline	bases
Use the Input below to identify the common property or characteristic shared by all these concepts.	shower curtain,toilet paper holder,tissue box,soap dispenser,h	bathroom accessories
Use the Input below to identify the common property or characteristic shared by all these concepts.	bath towel,shower cap,bathmat,soap dispenser,towel	bathroom essentials
Use the Input below to identify the common property or characteristic shared by all these concepts.	bath,tissue box,robe hook,towel rack,waste basket	bathroom fixtures
Use the Input below to identify the common property or characteristic shared by all these concepts.	bath mat,bathrobe,mirror,shower curtain,shower cap	bathroom items
Use the Input below to identify the common property or characteristic shared by all these concepts.	swimsuit,cooler,beach towel,umbrellas,beach chairs	beach accessories
Use the Input below to identify the common property or characteristic shared by all these concepts.	bathing suit,sunglasses,beach bag,swimsuit,beach towel	beach essentials
Use the Input below to identify the common property or characteristic shared by all these concepts.	surfboard,sandals,beach towel,beach umbrella,sunscreen	beach items
Use the Input below to identify the common property or characteristic shared by all these concepts.	low beams,columns,headers,joists,high beams	beams
Use the Input below to identify the common property or characteristic shared by all these concepts.	brown bears,grizzly bears,spectacled bears,black bears,bruins	bears
Use the Input below to identify the common property or characteristic shared by all these concepts.	not all kimonos,many people think sunsets,fat black and wine,mathematics,symmetry	beautiful
Use the Input below to identify the common property or characteristic shared by all these concepts.	mascara,lotion,lipstick,hairspray,face wash	beauty products
Use the Input below to identify the common property or characteristic shared by all these concepts.	duvet cover,bedsheet,blanket,mattress,comforter	bedding
Use the Input below to identify the common property or characteristic shared by all these concepts.	mattress,duvet cover,fitted sheet,blanket,duvet	bedding accessories
Use the Input below to identify the common property or characteristic shared by all these concepts.	blanket,bed sheet,pillowcase,sheet set,bed	bedding essentials
Use the Input below to identify the common property or characteristic shared by all these concepts.	pillow case,comforter,pillow,bed,pillowcase	bedding items
Use the Input below to identify the common property or characteristic shared by all these concepts.	sheet,mattress,blanket,pillow,duvet cover	bedding items for sleeping
Use the Input below to identify the common property or characteristic shared by all these concepts.	linen,mattress,silk,duvet,pillowcase	bedding materials
Use the Input below to identify the common property or characteristic shared by all these concepts.	pillows,pillow,quilt,blanket,pillowcase	bedding options
Use the Input below to identify the common property or characteristic shared by all these concepts.	wardrobe,bed frame,bedside lamp,clock radio,mattress	bedroom furniture
Use the Input below to identify the common property or characteristic shared by all these concepts.	cribs,bunk,hammocks,cots,berths	beds
Use the Input below to identify the common property or characteristic shared by all these concepts.	flour beetles,blister beetles,tiger beetles,ground beetles,japanese beetles	beetles
Use the Input below to identify the common property or characteristic shared by all these concepts.	attacks,thresholds,spring,inaugurations,emergence	beginnings
Use the Input below to identify the common property or characteristic shared by all these concepts.	transcendence,outsiders,presence,animation,actuality	being
Use the Input below to identify the common property or characteristic shared by all these concepts.	atheism,individualism,spiritualisms,thoughts,doctrines	beliefs
Use the Input below to identify the common property or characteristic shared by all these concepts.	kiwi,strawberry,blackberries,strawberries,grape	berries
Use the Input below to identify the common property or characteristic shared by all these concepts.	thermos,wine bottle,mug,tea cup,soda bottle	beverage containers
Use the Input below to identify the common property or characteristic shared by all these concepts.	coolers,soft drinks,carrot juice,chocolate milk,soy milk	beverages
Use the Input below to identify the common property or characteristic shared by all these concepts.	squash,pumpkin,arenas,stars,haystack	big
Use the Input below to identify the common property or characteristic shared by all these concepts.	cheetah,elephant,tigers,leopard,panther	big cats
Use the Input below to identify the common property or characteristic shared by all these concepts.	leadership,sensitivity,capability,expertise,competence	bility
Use the Input below to identify the common property or characteristic shared by all these concepts.	electric bills,checks,dollars,menus,tax bills	bills
Use the Input below to identify the common property or characteristic shared by all these concepts.	microbiologists,geneticists,molecular biologists,cytologists,botanists	biologists
Use the Input below to identify the common property or characteristic shared by all these concepts.	sociobiology,ecology,exobiologies,biological anthropology,morphology	biology
Use the Input below to identify the common property or characteristic shared by all these concepts.	desert,deciduous forest,forest,amazon rainforest,grassland	biomes
Use the Input below to identify the common property or characteristic shared by all these concepts.	albatrosses,seagull,spoonbills,quails,peregrine falcons	birds
Use the Input below to identify the common property or characteristic shared by all these concepts.	hawks,buzzard,osprey,bald eagle,vultures	birds of prey
Use the Input below to identify the common property or characteristic shared by all these concepts.	lemons,espresso,hateful people,black beans,bitter gourd	bitter
Use the Input below to identify the common property or characteristic shared by all these concepts.	hockey puck,midnight,spinach,bat,at night sky	black
Use the Input below to identify the common property or characteristic shared by all these concepts.	zebra,penguins,raccoon,hamburger,panda	black and white
Use the Input below to identify the common property or characteristic shared by all these concepts.	cauldron,abyss,bat,charcoal,night	black in color
Use the Input below to identify the common property or characteristic shared by all these concepts.	plum,tar,asphalt,tuxedo,tire	black in colour
Use the Input below to identify the common property or characteristic shared by all these concepts.	birthmarks,burns,scratchs,warts,stigmas	blemishs
Use the Input below to identify the common property or characteristic shared by all these concepts.	cakes,nuts,types,slabs,cornerstones	blocks
Use the Input below to identify the common property or characteristic shared by all these concepts.	clips,shot,hammers,kick,punch	blows
Use the Input below to identify the common property or characteristic shared by all these concepts.	cyan,clouds,water,sky,blue jeans	blue
Use the Input below to identify the common property or characteristic shared by all these concepts.	backgammons,monopoly,chess,backgammon board,scrabble	board games
Use the Input below to identify the common property or characteristic shared by all these concepts.	sideboards,palettes,floorboards,deals,springboards	boards
Use the Input below to identify the common property or characteristic shared by all these concepts.	canoes,canal boats,mackinaws,sailing boats,kayak	boats
Use the Input below to identify the common property or characteristic shared by all these concepts.	memberships,panels,representations,life forms,juries	bodies
Use the Input below to identify the common property or characteristic shared by all these concepts.	bays,beaches,mediterranean,fountain,creek	bodies of water
Use the Input below to identify the common property or characteristic shared by all these concepts.	necks,ligaments,stumps,trunks,hair follicles	body parts
Use the Input below to identify the common property or characteristic shared by all these concepts.	cruise missiles,smart bombs,cluster bombs,hand grenades,bats	bombs
Use the Input below to identify the common property or characteristic shared by all these concepts.	vertebras,pasterns,skulls,spines,knuckles	bones
Use the Input below to identify the common property or characteristic shared by all these concepts.	picture book,biography,non-fiction,self-help,history	book genres
Use the Input below to identify the common property or characteristic shared by all these concepts.	slowness,losers,pics,treatises,riptides	books
Use the Input below to identify the common property or characteristic shared by all these concepts.	shaving,math book,work,studying,tedium	boring
Use the Input below to identify the common property or characteristic shared by all these concepts.	bourns,boundary lines,margins,county lines,portals	boundaries
Use the Input below to identify the common property or characteristic shared by all these concepts.	clothes dryers,shoeboxs,mailboxs,hods,dressers	boxs
Use the Input below to identify the common property or characteristic shared by all these concepts.	horns,trumpet,bugles,clarinet,cornets	brass instruments
Use the Input below to identify the common property or characteristic shared by all these concepts.	toast,croutons,rye bread,quick bread,garlic bread	bread
Use the Input below to identify the common property or characteristic shared by all these concepts.	crepe,sausage,omelette,frittata,milk	breakfast foods
Use the Input below to identify the common property or characteristic shared by all these concepts.	bulldog,schnauzer,labrador retriever,chihuahua,great dane	breeds of dogs
Use the Input below to identify the common property or characteristic shared by all these concepts.	chestnuts,dogs,eyes,acorn,horses	brown
Use the Input below to identify the common property or characteristic shared by all these concepts.	clay,covering materials,plastic,flooring,window	building materials
Use the Input below to identify the common property or characteristic shared by all these concepts.	dormitories,police stations,historic buildings,churchs,stables	buildings
Use the Input below to identify the common property or characteristic shared by all these concepts.	laurels,azaleas,hydrangeas,juniper,mistletoes	bushs
Use the Input below to identify the common property or characteristic shared by all these concepts.	partnerships,sole proprietorships,technology companies,brokerages,sports franchise	business
Use the Input below to identify the common property or characteristic shared by all these concepts.	entrepreneurs,brokers,advisors,consultants,sales managers	business people
Use the Input below to identify the common property or characteristic shared by all these concepts.	entrepreneurs,businessmans,agents,merchants,shippers	businesspersons
Use the Input below to identify the common property or characteristic shared by all these concepts.	inorganic chemistry,palaeontology,lung cancer,biochemistry,synthesis	cademic journals
Use the Input below to identify the common property or characteristic shared by all these concepts.	pancakes,crumpets,cakes,tablets,cheesecake	cakes
Use the Input below to identify the common property or characteristic shared by all these concepts.	camp stove,camping stove,sleeping bag,air mattress,backpacking tent	camping equipment
Use the Input below to identify the common property or characteristic shared by all these concepts.	stove,flashlight,camp stove,pillow,campfire	camping essentials
Use the Input below to identify the common property or characteristic shared by all these concepts.	backpacking tent,hiking boots,backpacks,folding chair,air mattress	camping gear
Use the Input below to identify the common property or characteristic shared by all these concepts.	tumors,rectal cancer,breast cancer,brain cancer,lymphoma	cancer
Use the Input below to identify the common property or characteristic shared by all these concepts.	hard candy,paydays,easter eggs,licorices,peeps	candy
Use the Input below to identify the common property or characteristic shared by all these concepts.	hyenas,bitchs,wild dogs,jackals,dachshunds	canines
Use the Input below to identify the common property or characteristic shared by all these concepts.	fire,trees,hot grease,grass,plastic	capable of burns
Use the Input below to identify the common property or characteristic shared by all these concepts.	mosquitos,bees,owls,butterflies,ants	capable of flies
Use the Input below to identify the common property or characteristic shared by all these concepts.	tigers,fire,cancer,wounds,grenades	capable of kill
Use the Input below to identify the common property or characteristic shared by all these concepts.	birds,lizards,ferrets,ponies,chickens	capable of pets
Use the Input below to identify the common property or characteristic shared by all these concepts.	steering wheel,spark plug,fuel pump,hubcap,tire	car parts
Use the Input below to identify the common property or characteristic shared by all these concepts.	starchs,invert sugar,antigen,pizza,oligosaccharides	carbohydrates
Use the Input below to identify the common property or characteristic shared by all these concepts.	soda,lemonade,champagne,iced tea,dr pepper	carbonated beverages
Use the Input below to identify the common property or characteristic shared by all these concepts.	lung cancer,adenocarcinoma,pancreatic cancer,liver cancer,seminomas	carcinoma
Use the Input below to identify the common property or characteristic shared by all these concepts.	greeting cards,library cards,postcard,smart cards,playing cards	cards
Use the Input below to identify the common property or characteristic shared by all these concepts.	personal care,manicures,brush are used for hair,incubations,great care	care
Use the Input below to identify the common property or characteristic shared by all these concepts.	insectivores,otters,lion,tiger,weasels	carnivores
Use the Input below to identify the common property or characteristic shared by all these concepts.	crocodile,grizzly bear,cat,lions,tiger	carnivorous
Use the Input below to identify the common property or characteristic shared by all these concepts.	tiger,tigers,crocodile,wolf,bird	carnivorous animals
Use the Input below to identify the common property or characteristic shared by all these concepts.	flies,solos,berlins,chariots,whisky	carriage
Use the Input below to identify the common property or characteristic shared by all these concepts.	sos,sedans,german cars,racers,electric cars	cars
Use the Input below to identify the common property or characteristic shared by all these concepts.	baggage,referrals,pieces,briefcases,kits	cases
Use the Input below to identify the common property or characteristic shared by all these concepts.	sweater,hoodie,tank top,tank tops,pajamas	casual clothing
Use the Input below to identify the common property or characteristic shared by all these concepts.	sneakers,hoodie,sweatshirt,shorts,t-shirts	casual clothing items
Use the Input below to identify the common property or characteristic shared by all these concepts.	jeans,sneakers,t-shirt,hoodie,socks	casual wear
Use the Input below to identify the common property or characteristic shared by all these concepts.	lynxs,tigers,pickle,cougars,adult cats	cats
Use the Input below to identify the common property or characteristic shared by all these concepts.	wrestling,sports,skating,crutchs,grooming	cause injuries
Use the Input below to identify the common property or characteristic shared by all these concepts.	infection,nuclear war,poison,terrorism,cancer	causes death
Use the Input below to identify the common property or characteristic shared by all these concepts.	sockets,portals,potholes,sacs,chambers	cavities
Use the Input below to identify the common property or characteristic shared by all these concepts.	clouds,the stars,mars,comets,cloud	celestial bodies
Use the Input below to identify the common property or characteristic shared by all these concepts.	galaxy,jupiter,stars,clouds,crescent moon	celestial objects
Use the Input below to identify the common property or characteristic shared by all these concepts.	cancer cells,human cells,coolers,fuel cells,abnormal cells	cells
Use the Input below to identify the common property or characteristic shared by all these concepts.	call centers,service clubs,community centers,research centers,capital	centers
Use the Input below to identify the common property or characteristic shared by all these concepts.	grit,noodles,rye,grain,pastry	cereals
Use the Input below to identify the common property or characteristic shared by all these concepts.	potlatchs,formality,commemoration,religious ceremony,purification	ceremony
Use the Input below to identify the common property or characteristic shared by all these concepts.	chairmans,wheelchairs,recliners,ergonomic chairs,comforters	chairs
Use the Input below to identify the common property or characteristic shared by all these concepts.	spirit,chinese characters,letters,capital,types	characters
Use the Input below to identify the common property or characteristic shared by all these concepts.	fares,ordinaries,overcharges,chevrons,shot	charge
Use the Input below to identify the common property or characteristic shared by all these concepts.	feta,swiss cheese,mozzarella cheese,ricottas,bleus	cheese
Use the Input below to identify the common property or characteristic shared by all these concepts.	glutamine,heavy water,phenothiazines,fluoresceins,alanines	chemical compounds
Use the Input below to identify the common property or characteristic shared by all these concepts.	arsenic,rhodiums,iodine,rutheniums,cerium	chemical elements
Use the Input below to identify the common property or characteristic shared by all these concepts.	gassings,combustion,desalinations,cleavages,nitrifications	chemical processes
Use the Input below to identify the common property or characteristic shared by all these concepts.	fire,chemical bonding,chemical equilibrium,endergonic reaction,oxidation	chemical reaction
Use the Input below to identify the common property or characteristic shared by all these concepts.	vinyl,drugs,larvicides,carriers,pesticide	chemicals
Use the Input below to identify the common property or characteristic shared by all these concepts.	preschoolers,sons,daughters,toddlers,boys	children
Use the Input below to identify the common property or characteristic shared by all these concepts.	rosaceas,tuberculosis,hypertension,lupus,genetic conditions	chronic conditions
Use the Input below to identify the common property or characteristic shared by all these concepts.	boric acid,carbonic acid,nitric acid,pyruvic acid,carboxylic acid	cid
Use the Input below to identify the common property or characteristic shared by all these concepts.	wheel,tortillas,pie,tyre,onion	circular
Use the Input below to identify the common property or characteristic shared by all these concepts.	paris,san francisco,canadian cities,jodhpurs,coastal cities	cities
Use the Input below to identify the common property or characteristic shared by all these concepts.	orange juice,lemon tea,grapefruit,lemon,yellow	citrus
Use the Input below to identify the common property or characteristic shared by all these concepts.	orange,pineapples,tangerine,blood orange,lime	citrus fruit
Use the Input below to identify the common property or characteristic shared by all these concepts.	orange,apple,clementine,mandarin,grape	citrus fruits
Use the Input below to identify the common property or characteristic shared by all these concepts.	grapefruit,grapefruit juice,lime,orange juice,orange	citrusy
Use the Input below to identify the common property or characteristic shared by all these concepts.	castes,ascomycetes,middle classes,markets,subclasses	classes
Use the Input below to identify the common property or characteristic shared by all these concepts.	polishing,sweepings,scrubs,purification,dry cleaning	cleaning
Use the Input below to identify the common property or characteristic shared by all these concepts.	stain remover agent,soap,bleach,baking soda,conditioner	cleaning agents
Use the Input below to identify the common property or characteristic shared by all these concepts.	vacuum cleaner,shampoo,disinfectant,bleach,detergent	cleaning products
Use the Input below to identify the common property or characteristic shared by all these concepts.	soap,mops,rubber gloves,carpet cleaner,dustpans	cleaning supplies
Use the Input below to identify the common property or characteristic shared by all these concepts.	towel,sponges,janitorial cart,scrubber,washcloth	cleaning tools
Use the Input below to identify the common property or characteristic shared by all these concepts.	water,tears,liquid,gin,glass	clear
Use the Input below to identify the common property or characteristic shared by all these concepts.	ministers,deacons,archdeacons,preachers,shepherds	clergymans
Use the Input below to identify the common property or characteristic shared by all these concepts.	interfacings,lace,drapes,linen,velvet	cloth
Use the Input below to identify the common property or characteristic shared by all these concepts.	sweaters,shirt,t-shirt,scarf,pants	clothing
Use the Input below to identify the common property or characteristic shared by all these concepts.	hat,shoe,hats,cape,jacket	clothing accessories
Use the Input below to identify the common property or characteristic shared by all these concepts.	hat,pant,polo shirt,t-shirts,dress shirt	clothing items
Use the Input below to identify the common property or characteristic shared by all these concepts.	t-shirt,sweater,sweatshirt,tank top,shorts	clothing options
Use the Input below to identify the common property or characteristic shared by all these concepts.	turtleneck,formal wear,hoodie,uniform,casual wear	clothing styles
Use the Input below to identify the common property or characteristic shared by all these concepts.	mist,mushrooms,stratus clouds,smoke,cumulus clouds	clouds
Use the Input below to identify the common property or characteristic shared by all these concepts.	sororities,yacht clubs,chess clubs,bats,golf clubs	clubs
Use the Input below to identify the common property or characteristic shared by all these concepts.	paint,varnish,plating,veneers,facing	coating
Use the Input below to identify the common property or characteristic shared by all these concepts.	access code,software,instruction,fire code,zip code	code
Use the Input below to identify the common property or characteristic shared by all these concepts.	information,practice,ability,equivalents,minds	cognition
Use the Input below to identify the common property or characteristic shared by all these concepts.	deniers,dollars,eagles,money,dimes	coin
Use the Input below to identify the common property or characteristic shared by all these concepts.	coin,fridge magnet,statue,beanie babies,key chain	collectibles
Use the Input below to identify the common property or characteristic shared by all these concepts.	convoys,planting,compilations,galaxy,hands	collections
Use the Input below to identify the common property or characteristic shared by all these concepts.	bright color,pink,dark color,flesh,chartreuse	color
Use the Input below to identify the common property or characteristic shared by all these concepts.	macaw,tropical fish,saffron,flowers,flower bouquet	colorful
Use the Input below to identify the common property or characteristic shared by all these concepts.	brown,emerald,orange,gray,scarlet	colors
Use the Input below to identify the common property or characteristic shared by all these concepts.	livers,olives,spring green,violet,amaranths	colour
Use the Input below to identify the common property or characteristic shared by all these concepts.	complexion,mix,temperance,fusion,blends	combinations
Use the Input below to identify the common property or characteristic shared by all these concepts.	soft clothing,couch,people can learn better if,beanbags,armchair	comfortable
Use the Input below to identify the common property or characteristic shared by all these concepts.	distribution,selling,exchanges,traffic,trade	commerce
Use the Input below to identify the common property or characteristic shared by all these concepts.	transportation,construction,fields,finance,advertising	commercial enterprises
Use the Input below to identify the common property or characteristic shared by all these concepts.	vendors,chinese companies,shopping centers,franchise,administration	commercial organizations
Use the Input below to identify the common property or characteristic shared by all these concepts.	shopping,exports,textiles,newsprints,salvage	commodities
Use the Input below to identify the common property or characteristic shared by all these concepts.	bacon,eggs,oatmeal,bread,sausage	common breakfast foods
Use the Input below to identify the common property or characteristic shared by all these concepts.	orange,oranges,peach,banana,strawberry	common fruits
Use the Input below to identify the common property or characteristic shared by all these concepts.	dog,horse,birds,hamster,cat	common household pets
Use the Input below to identify the common property or characteristic shared by all these concepts.	cockroach,butterflies,ant,bees,spider	common insects
